date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-01,Bạc Liêu,31246,50202,79994,"40150, 86548","08559, 80928, 12321, 06726, 52837, 33295, 41127",2577,"1763, 3031, 1443",737,86
2008-01-01,Bến Tre,06684,71355,39190,"70872, 28006","75657, 78694, 87949, 94794, 92244, 94749, 51648",3940,"5671, 6687, 2896",803,07
2008-01-01,Vũng Tàu,85823,86043,57537,"96310, 04514","32126, 81892, 15953, 85174, 10496, 72587, 10726",0556,"4342, 3551, 8746",839,29
2008-01-02,Cần Thơ,28975,30301,19983,"67832, 45279","89813, 10759, 35741, 77760, 49229, 81550, 98844",6858,"1002, 8377, 3055",091,21
2008-01-02,Sóc Trăng,98252,11900,87391,"04811, 91435","41348, 66712, 20998, 58048, 63797, 65828, 02936",5065,"1516, 0645, 8671",121,33
2008-01-02,Đồng Nai,56306,71388,28593,"61726, 10029","71321, 49943, 57543, 43903, 11117, 95748, 55317",0810,"2477, 2973, 0511",859,93
2008-01-03,An Giang,69829,27850,72622,"20925, 50597","16568, 91261, 71993, 44379, 79271, 57214, 91543",3799,"1160, 2207, 8297",749,94
2008-01-03,Bình Thuận,84852,53465,20593,"11228, 95938","40038, 89671, 13246, 06486, 62971, 90041, 84803",2702,"4894, 4899, 3461",782,88
2008-01-03,Tây Ninh,46926,79828,92671,"34919, 35785","94087, 33033, 59692, 10517, 97288, 68064, 72824",7190,"2991, 1336, 4115",171,37
2008-01-04,Bình Dương,42246,77231,79571,"38603, 01394","06024, 87711, 06080, 34098, 09618, 52518, 00797",7584,"9742, 3116, 3591",282,68
2008-01-04,Trà Vinh,48379,39054,53306,"82756, 22672","14569, 05340, 31281, 29670, 46824, 26552, 77754",8515,"2976, 4781, 2666",965,88
2008-01-04,Vĩnh Long,86318,51796,05635,"26587, 68621","06094, 43964, 94592, 37132, 01500, 42618, 35408",0540,"1946, 1724, 5989",097,35
2008-01-05,Bình Phước,01509,67736,21212,"23300, 96870","23420, 49046, 06584, 32588, 84305, 27232, 53622",5780,"6138, 9171, 0055",629,22
2008-01-05,Hậu Giang,35467,80370,42793,"15513, 92943","91905, 70754, 23284, 32450, 11963, 24058, 25135",7310,"9965, 6909, 0806",612,85
2008-01-05,Hồ Chí Minh,43316,62740,61227,"73314, 31062","94875, 96174, 08464, 89125, 68443, 20985, 76214",1161,"0756, 5197, 0714",021,96
2008-01-05,Long An,80246,54858,83433,"77578, 97023","42675, 09274, 94338, 95597, 33377, 59982, 97350",3307,"8424, 6272, 4758",199,87
2008-01-06,Kiên Giang,15320,42320,45096,"56934, 91290","36130, 80586, 32955, 50168, 12498, 20118, 49281",2857,"4940, 5732, 9894",269,26
2008-01-06,Tiền Giang,03560,56724,94792,"49163, 71099","78852, 05021, 60389, 14448, 30605, 21081, 38271",9293,"0371, 2283, 2967",394,52
2008-01-06,Đà Lạt,97108,12914,65660,"80409, 08207","50729, 50551, 61305, 07225, 78049, 32359, 92742",1873,"7221, 6054, 6710",298,30
2008-01-07,Cà Mau,52201,35165,54601,"08155, 23209","47682, 51668, 03621, 71357, 10379, 76633, 09023",1475,"9014, 4346, 2776",817,31
2008-01-07,Hồ Chí Minh,70772,14735,69080,"74955, 20441","55820, 12820, 18574, 22954, 38213, 83799, 92358",9872,"7020, 9706, 7037",806,43
2008-01-07,Đồng Tháp,58819,01052,97235,"59575, 73138","85526, 66523, 69607, 67822, 89910, 23470, 07953",3654,"2110, 3730, 8545",914,65
2008-01-08,Bạc Liêu,46569,98802,71011,"93418, 51007","08464, 23190, 79580, 74450, 16874, 40827, 86682",0788,"4512, 9804, 2294",764,05
2008-01-08,Bến Tre,46588,87043,24980,"77333, 04320","74196, 38025, 29728, 21915, 31966, 78428, 09106",1590,"1087, 2156, 9604",441,85
2008-01-08,Vũng Tàu,29267,99998,44973,"89500, 94930","28285, 02583, 45341, 66434, 63342, 03862, 53470",4054,"4307, 8522, 3618",118,87
2008-01-09,Cần Thơ,56445,68552,34980,"13008, 62429","61393, 69362, 08742, 61027, 82348, 29803, 09365",8575,"5333, 0401, 8590",093,96
2008-01-09,Sóc Trăng,91416,03965,89448,"39175, 56518","09271, 53772, 35785, 73290, 00436, 04132, 09905",3595,"3102, 7980, 7099",007,10
2008-01-09,Đồng Nai,21538,41693,70348,"86248, 53983","10029, 74459, 27775, 67086, 82791, 08053, 80687",8989,"0615, 6363, 8128",439,85
2008-01-10,An Giang,77310,90649,52182,"80847, 02738","04076, 44447, 69118, 37208, 13458, 31878, 80790",1455,"1999, 8349, 7044",557,25
2008-01-10,Bình Thuận,22278,77597,19895,"81731, 63233","11778, 58261, 80031, 69660, 38554, 40012, 62282",5417,"7636, 8717, 4021",919,03
2008-01-10,Tây Ninh,60466,06318,50510,"92899, 44410","32324, 78759, 89387, 46176, 02732, 82058, 54072",0003,"2395, 3740, 8385",195,32
2008-01-11,Bình Dương,68701,00315,03568,"80154, 35647","01776, 80069, 86680, 60569, 72238, 99212, 69084",9187,"8143, 0249, 1084",421,10
2008-01-11,Trà Vinh,20556,92571,02572,"80891, 83150","91780, 74447, 73115, 46801, 37025, 42944, 32921",8081,"3568, 8604, 7764",373,54
2008-01-11,Vĩnh Long,08784,78876,82796,"02400, 99554","02666, 60464, 84958, 11154, 54442, 79186, 83443",9712,"1322, 8312, 3307",152,42
2008-01-12,Bình Phước,67537,48080,50492,"95883, 06615","91559, 05057, 73265, 99800, 92325, 68568, 22757",6911,"2100, 0887, 2687",120,13
2008-01-12,Hậu Giang,62622,45895,48917,"39369, 91727","82028, 61945, 03797, 14477, 34309, 32010, 09998",2526,"9116, 3396, 7699",054,67
2008-01-12,Hồ Chí Minh,78320,88467,93751,"99120, 56748","55957, 95393, 13832, 58688, 27397, 52215, 30430",5541,"3800, 9626, 1357",265,36
2008-01-12,Long An,92705,11463,50967,"66452, 20125","16364, 10685, 27509, 97184, 19282, 53569, 27321",5068,"8383, 8142, 0336",752,52
2008-01-13,Kiên Giang,67143,39489,68118,"38684, 27247","62583, 56477, 42939, 48834, 29479, 92516, 71823",7808,"1879, 6595, 3110",566,70
2008-01-13,Tiền Giang,88329,05695,34601,"96544, 08073","57473, 05297, 14523, 38827, 42593, 42358, 48748",6659,"8218, 4926, 9024",652,41
2008-01-13,Đà Lạt,41845,34721,28435,"26888, 04772","63915, 20539, 34049, 30128, 07198, 51776, 16568",9996,"1115, 7882, 8583",522,59
2008-01-14,Cà Mau,71771,72638,83846,"55739, 39936","99137, 41725, 55162, 35621, 41007, 79563, 57997",6576,"9352, 8373, 9871",127,51
2008-01-14,Hồ Chí Minh,62628,71456,68751,"57684, 62882","84333, 02418, 12442, 04433, 23490, 17132, 31683",6577,"0843, 0916, 9218",004,45
2008-01-14,Đồng Tháp,49403,87477,41370,"24424, 35396","12706, 76303, 98367, 83329, 96708, 89672, 60970",1001,"0022, 6264, 4630",787,76
2008-01-15,Bạc Liêu,71299,17598,50280,"45796, 80389","66579, 10225, 07682, 63355, 83012, 88858, 45888",6972,"2538, 6127, 6926",998,90
2008-01-15,Bến Tre,84129,44450,23560,"89788, 01861","87516, 64349, 98986, 44578, 19239, 54458, 53452",3715,"8973, 8751, 5501",710,09
2008-01-15,Vũng Tàu,87962,38154,87912,"15773, 05214","72717, 75218, 63990, 62811, 64889, 58754, 16509",4034,"1477, 1811, 6837",107,20
2008-01-16,Cần Thơ,06554,45090,72911,"30968, 53723","65948, 59536, 65615, 35004, 95520, 11478, 69832",5566,"4031, 7998, 6864",108,60
2008-01-16,Sóc Trăng,65619,12156,97502,"34292, 38201","71326, 81905, 73142, 39152, 84456, 10970, 23420",7573,"2506, 3229, 7046",382,92
2008-01-16,Đồng Nai,89232,18974,99246,"88006, 97520","25341, 57158, 06777, 42400, 01930, 02206, 68323",3261,"9233, 5846, 3394",717,51
2008-01-17,An Giang,76405,87876,86195,"65437, 87233","98241, 68856, 08051, 20622, 96602, 07266, 50164",4179,"2430, 2840, 2608",621,65
