date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2009-01-27,Quảng Nam,38348,34717,19700,"56863, 60405","31748, 57962, 01477, 43940, 46458, 29147, 14697",2162,"5638, 0853, 0207",995,82
2009-01-27,Đắk Lắk,28675,80031,38857,"60717, 16584","89986, 10536, 40853, 34604, 80569, 06060, 90983",5566,"8374, 6836, 3158",858,94
2009-01-28,Khánh Hòa,38456,23584,07907,"59304, 82219","26301, 92190, 28552, 99943, 67183, 70962, 46227",5731,"2281, 9745, 0089",265,09
2009-01-28,Đà Nẵng,77970,64979,57151,"51820, 77089","44769, 51854, 54846, 45288, 14871, 94652, 68245",3737,"3534, 4061, 8333",175,03
2009-01-29,Bình Định,27933,85551,91154,"78315, 60411","23075, 56656, 17093, 44159, 58544, 19528, 14342",7315,"3620, 7186, 1964",538,13
2009-01-29,Quảng Bình,30983,49636,34020,"46677, 51951","08205, 52615, 47151, 44780, 81637, 02623, 03039",1986,"9049, 4069, 8096",826,98
2009-01-29,Quảng Trị,92342,93638,69191,"05109, 79158","91362, 64294, 94742, 16110, 66149, 66447, 60800",3318,"8478, 3809, 4331",409,09
2009-01-30,Gia Lai,81892,85281,24877,"33365, 04022","48445, 88626, 03351, 99903, 47870, 73986, 44469",2638,"1333, 6392, 5148",543,32
2009-01-30,Ninh Thuận,98658,70948,80305,"91400, 91324","62451, 34462, 03324, 44385, 97497, 59036, 02877",0924,"5368, 4020, 6380",539,86
2009-01-31,Quảng Ngãi,04925,86572,93751,"67214, 51875","62649, 45077, 17647, 22883, 89712, 43311, 06011",1914,"3541, 5003, 5483",617,33
2009-01-31,Đà Nẵng,17887,96736,15964,"78309, 85186","36774, 90591, 19487, 97742, 02135, 47659, 91469",7860,"9944, 4737, 2230",708,95
2009-01-31,Đắk Nông,58327,43165,07985,"50563, 31647","63964, 84509, 85472, 41023, 09354, 34450, 53465",2875,"6930, 3541, 8381",096,02
2009-02-01,Khánh Hòa,11629,15750,81792,"46524, 16232","04387, 82607, 84015, 61981, 62687, 28915, 82245",7695,"9900, 4795, 0311",908,67
2009-02-01,Kon Tum,30223,66721,75969,"37796, 70868","46571, 37584, 66350, 06756, 26688, 49125, 51370",9850,"9953, 9436, 2153",241,23
2009-02-02,Phú Yên,58287,73228,55271,"16798, 53099","36022, 88881, 83366, 35032, 23981, 39635, 33307",0091,"8615, 7806, 1007",912,01
2009-02-02,Thừa Thiên Huế,41857,82198,43150,"77146, 37817","90390, 30394, 04929, 81554, 42228, 39150, 96274",0888,"8833, 1294, 5771",044,90
2009-02-03,Quảng Nam,57067,57033,17549,"82018, 61394","84535, 95081, 07239, 37117, 33743, 62338, 54883",9538,"8989, 4416, 8328",060,10
2009-02-03,Đắk Lắk,92680,83038,53520,"39561, 73889","83587, 91838, 82150, 78286, 39791, 19482, 19684",4214,"3117, 7266, 2962",946,97
2009-02-04,Khánh Hòa,67476,47676,89199,"14226, 43596","21980, 92783, 18169, 55701, 70794, 67192, 76228",7438,"6873, 4675, 2705",966,74
2009-02-04,Đà Nẵng,74490,69258,14376,"06026, 24872","51210, 82432, 94260, 12004, 98095, 66991, 09928",9036,"4505, 9706, 6652",711,89
2009-02-05,Bình Định,95931,82510,54098,"98374, 44577","65694, 45800, 99450, 78765, 06399, 38706, 27843",5748,"1425, 9900, 3402",380,20
2009-02-05,Quảng Bình,33988,45608,59459,"14187, 75963","33664, 78021, 97312, 18885, 97732, 31932, 58937",9059,"2136, 0698, 5743",090,04
2009-02-05,Quảng Trị,71240,60623,47760,"46054, 49097","11014, 13312, 09893, 47102, 04700, 76427, 92463",9442,"0122, 9116, 4240",008,55
2009-02-06,Gia Lai,45187,39622,49253,"28022, 13078","50038, 19497, 98964, 07625, 94784, 76645, 34641",0732,"6593, 4123, 0978",782,60
2009-02-06,Ninh Thuận,67468,48374,57644,"96937, 59952","58102, 99787, 89267, 00007, 11915, 94983, 25662",2707,"7199, 0958, 9949",390,00
2009-02-07,Quảng Ngãi,04925,86572,93751,"67214, 51875","62649, 45077, 17647, 22883, 89712, 43311, 06011",1914,"3541, 5003, 5483",617,33
2009-02-07,Đà Nẵng,13125,42733,28198,"65625, 54995","97096, 50869, 19074, 88488, 81284, 42573, 56953",6360,"9757, 1236, 3158",954,65
2009-02-07,Đắk Nông,16455,58050,46427,"78901, 70536","80378, 95542, 84805, 18438, 44403, 36950, 77478",4025,"6031, 3429, 3293",466,05
2009-02-08,Khánh Hòa,57493,31903,45779,"47977, 39118","56774, 52219, 03811, 79331, 15590, 04976, 66639",1851,"9516, 7674, 5127",737,21
2009-02-08,Kon Tum,23345,06521,40693,"91986, 39960","57741, 44903, 85915, 55797, 73206, 78214, 07097",4883,"4841, 8760, 6400",750,64
2009-02-09,Phú Yên,50729,14654,21769,"64561, 61376","27637, 51377, 32481, 85200, 48251, 69982, 34951",5794,"9522, 0140, 6326",743,00
2009-02-09,Thừa Thiên Huế,62074,22036,35039,"52087, 49710","76855, 15907, 47948, 97948, 17623, 18807, 01920",7738,"9356, 5117, 5571",304,56
2009-02-10,Quảng Nam,28301,82845,02760,"76955, 79819","11818, 31846, 52765, 89640, 19663, 18297, 15305",4670,"6491, 7109, 0717",601,41
2009-02-10,Đắk Lắk,19184,20444,31385,"55575, 31440","01300, 82868, 67182, 72349, 08185, 19098, 96191",4431,"8297, 0191, 0019",633,55
2009-02-11,Khánh Hòa,86642,82150,50533,"27189, 11108","65225, 73988, 73300, 90385, 16941, 71405, 14710",1008,"1625, 8920, 2974",520,65
2009-02-11,Đà Nẵng,25707,01789,16752,"82585, 57336","78666, 00529, 16046, 38345, 11456, 55138, 59146",3276,"0070, 4498, 5569",280,43
2009-02-12,Bình Định,65630,77681,49870,"53211, 38825","90709, 68545, 39956, 34151, 14195, 00966, 77742",6463,"3631, 8847, 3018",511,89
2009-02-12,Quảng Bình,19092,71475,96891,"42992, 88449","19332, 91976, 97773, 26849, 10306, 28595, 12928",0680,"9600, 1846, 9500",093,84
2009-02-12,Quảng Trị,51205,21346,16769,"16770, 89868","55720, 79019, 92753, 91777, 46443, 84879, 23659",0609,"6192, 0405, 4877",737,89
